Rank,AU,PY,TI,TC
1,VAN DEURSEN AJAM;VAN DIJK J,2014,THE DIGITAL DIVIDE SHIFTS TO DIFFERENCES IN USAGE,554
2,VAN DEURSEN AJAM;VAN DIJK J,2011,INTERNET SKILLS AND THE DIGITAL DIVIDE,402
3,BECKER S;MIRON-SHATZ T;SCHUMACHER N;KROCZA J;DIAMANTIDIS C;ALBRECHT U,2014,"MHEALTH 2.0: EXPERIENCES, POSSIBILITIES, AND PERSPECTIVES",289
4,HELBIG N;GIL-GARCÍA JR;FERRO E,2009,UNDERSTANDING THE COMPLEXITY OF ELECTRONIC GOVERNMENT: IMPLICATIONS FROM THE DIGITAL DIVIDE LITERATURE,268
5,VAN DEURSEN AJAM;VAN DIJK J,2009,USING THE INTERNET: SKILL RELATED PROBLEMS IN USERS' ONLINE BEHAVIOR,211
6,BRANDTZÆG PB;HEIM J;KARAHASANOVIĆ A,2011,UNDERSTANDING THE NEW DIGITAL DIVIDE—A TYPOLOGY OF INTERNET USERS IN EUROPE,211
7,CARTER L;WEERAKKODY V,2008,E-GOVERNMENT ADOPTION: A CULTURAL COMPARISON,208
8,FUCHS C;HORAK E,2008,AFRICA AND THE DIGITAL DIVIDE,200
9,NIEHAVES B;PLATTFAUT R,2014,INTERNET ADOPTION BY THE ELDERLY: EMPLOYING IS TECHNOLOGY ACCEPTANCE THEORIES FOR UNDERSTANDING THE AGE-RELATED DIGITAL DIVIDE,187
10,VAN DEURSEN A;VAN DIJK J,2009,IMPROVING DIGITAL SKILLS FOR THE USE OF ONLINE PUBLIC INFORMATION AND SERVICES,162
